# index,   name,   lat[deg],   lon[deg]

00, 'New York',     40.712776,   -74.005974
01, 'Los Angeles',  34.052235,  -118.243683
02, 'Miami',        25.761681,   -80.191788
03, 'Lisbona',      38.707008,    -9.135640
04, 'Genova',       44.4471372,    8.7507467
05, 'Canarie',      28.43089,    -18.0976658
06, 'Hawaii',       17.8921817,  -178.9595888
07, 'Manila',       14.5965788,   120.9445401
08, 'Taiwan',       23.4747252,   117.8396806
09, 'Tokyo',        35.5062897,   138.6485068
10, 'Mumbai',       19.0825223,    72.741098
11, 'Dubai',        25.0757073,    54.947547
12, 'Azzorre',      38.6595096,   -27.24766
13, 'Cuba',         21.465274,    -84.060807
14, 'Alaska',       55.0850367,  -162.3920737
15, 'Dakar',        14.71118,     -17.535866
16, 'Galapagos',     1.8473204,  -105.0634439
17, 'Shangai',      31.2243084,   120.9162657
18, 'Sri Lanka',     6.9220039,    79.7861644
19, 'Caracas',      10.4686988,   -67.0304544
20, 'Vancouver',    49.2578263,  -123.1939441
